Node                                                                              | Description                                                                                                        | Type   | Player default | OP default     | Variants                                                                                                                                    
                                                                                  |                                                                                                                    |        |                |                |                                                                                                                                             
admin_panel.serverutilities.crash_reports.delete                                  | Allow to delete crash reports, requires admin_panel.serverutilities.crash_reports.view                             | bool   | false          | true           | [true, false]                                                                                                                               
admin_panel.serverutilities.crash_reports.view                                    | Allow to view crash reports via Admin Panel                                                                        | bool   | false          | true           | [true, false]                                                                                                                               
admin_panel.serverutilities.edit_world.gamerules                                  | Allow to edit gamerules via Admin Panel                                                                            | bool   | false          | true           | [true, false]                                                                                                                               
command                                                                           | Permission for commands, if ServerUtilities command overriding is enabled. If not, this String will be inactive    | bool   | false          | true           | [true, false]                                                                                                                               
default_op_rank                                                                   | Default rank for players with OP or singleplayer with cheat enabled.                                               | bool   | false          | false          | [true, false]                                                                                                                               
default_player_rank                                                               | Default rank for players                                                                                           | bool   | false          | false          | [true, false]                                                                                                                               
parent                                                                            | Rank whose permissions will be inherited                                                                           | string | ""             | ""             | []                                                                                                                                          
power                                                                             | Deprecated, see priority.                                                                                          | int    | 0              | 0              | [0 to 2147483646]                                                                                                                           
priority                                                                          | Determines which ranks permissions will be prioritized if a player has multiple ranks. Higher = prioritized first. | int    | 0              | 0              | [0 to 2147483646]                                                                                                                           
serverutilities.afk.timer                                                         | AFK Timer                                                                                                          | timer  | 0s             | 0s             | [0s to ∞]                                                                                                                                   
serverutilities.back.back                                                         | Allow player back to last time where /back is used                                                                 | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.back.cooldown                                                     | /back Cooldown Timer                                                                                               | timer  | 3m             | 0s             | [0s to ∞]                                                                                                                                   
serverutilities.back.home                                                         | Allow player back to last time where /home is used                                                                 | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.back.infinite                                                     | Allow to use 'back' command infinite times                                                                         | bool   | false          | false          | [true, false]                                                                                                                               
serverutilities.back.respawn                                                      | Allow player back to last death point                                                                              | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.back.rtp                                                          | Allow player back to last time where /rtp is used                                                                  | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.back.spawn                                                        | Allow player back to last time where /spawn is used                                                                | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.back.tpa                                                          | Allow player back to last time where /tpa is used                                                                  | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.back.warmup                                                       | /back Warmup Timer                                                                                                 | timer  | 5s             | 0s             | [0s to 1m]                                                                                                                                  
serverutilities.back.warp                                                         | Allow player back to last time where /warp is used                                                                 | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.badge                                                             | Badge                                                                                                              | string | ""             | ""             | []                                                                                                                                          
serverutilities.chat.formatting                                                   | Allows to use **bold**, *italic* and ~~strikethrough~~ in chat                                                     | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.chat.name_format                                                  | permission.serverutilities.chat.name_format                                                                        | string | "<{name}>"     | "<&2{name}&r>" | []                                                                                                                                          
serverutilities.chat.nickname.colors                                              | Allow to use formatting codes in nickname, requires serverutilities.chat.nickname.set                              | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.chat.nickname.set                                                 | Allow to change nickname                                                                                           | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.chat.speak                                                        | Controls if player is muted or not                                                                                 | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.chat.text.color                                                   | Chat Text Color                                                                                                    | enum   | white          | white          | [aqua, black, blue, dark_aqua, dark_blue, dark_gray, dark_green, dark_purple, dark_red, gold, gray, green, light_purple, red, white, yellow]
serverutilities.chunkloader.load_offline                                          | Keep loaded chunks working when player goes offline                                                                | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.chunkloader.max_chunks                                            | Max Loadable Chunks                                                                                                | int    | 50             | 64             | [0 to 30000]                                                                                                                                
serverutilities.claims.attack_animals                                             | Allow to attack animals in claimed chunks                                                                          | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.block.edit                                                 | Permission for blocks that players can break and place within claimed chunks                                       | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.block.edit.biomesoplenty.grave                             |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.edit.openblocks.grave                                |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact                                             | Permission for blocks that players can right-click within claimed chunks                                           | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.enderio.blockdarksteelanvil                 |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.extratrees.door                             |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.ic2.blockdooralloy                          |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_black                  |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_blue                   |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_brown                  |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_cyan                   |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_gray                   |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_green                  |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_light_blue             |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_lime                   |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_magenta                |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_orange                 |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_pink                   |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_purple                 |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_red                    |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_silver                 |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_white                  |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.curtain_yellow                 |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.door_acacia                    |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.door_birch                     |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.door_dark_oak                  |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.door_jungle                    |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.door_spruce                    |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.factory_door                   |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.iron_sliding_door              |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.jail_door                      |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.laboratory_door                |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.null                           |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.saloon                         |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.shoji_door                     |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.malisisdoors.wood_sliding_door              |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.minecraft.anvil                             |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.minecraft.crafting_table                    |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.minecraft.iron_door                         |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.minecraft.wooden_door                       |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.natura.door.bloodwood                       |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.natura.door.eucalyptus                      |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.claims.block.interact.natura.door.ghostwood                       |                                                                                                                    | bool   | true           | true           | [true, false]                                                                                                                               
